model,best_train_score,acc_val,f1_val,roc_auc_val
Random_Forest,0.6190773763028099,0.8233009708737864,0.6513409961685823,0.867256164822261
dt,0.588223757656217,0.8,0.6171003717472119,0.7337917660036296
Logreg,0.37784424740946476,0.7611650485436893,0.4057971014492754,0.6637725509732058
dummie,0.0,0.6951456310679611,0.0,0.5
